ParticipantId,AnnualHouseholdIncome,BirthYear2020,CoronavirusConcern2,CoronavirusEmployment,CoronavirusIntent_Mask,CoronavirusIntent_SixFeet,CoronavirusIntent_StayHome,CoronavirusIntent_WashHands,CoronavirusLocalCommunity,CoronavirusSupportSystem,CoronavirusSymptomSelect,Education_Alt2,Ethnicity,Gender,HasCoronavirusBelief,PoliticalBeliefsNoOp,Religion_Alt1,Religiosity_Alt2,ZipCode
2205,56000,1985,8,['was-part'],100,100,100,100,8,['fam-friend'],['none'],postgrad,black,female,0.2,6.5,something-else,7.5,319
2206,46000,1953,10,['now-retired'],100,96,96,95,0,['fam-friend'],['none'],some-college,black,female,0.3,6.1,other-protestant,9.9,482
2207,75000,1992,9.3,"['was-full', 'now-full']",99,99,74,100,0,['fam-friend'],['none'],college,asian,female,2.5,2.4,other-protestant,10,328
2208,140000,1991,3.5,['was-full'],78,75,70,62,0,['fam-friend'],['none'],some-college,white,male,1.9,2.3,nothing-in-particular,0.6,443
2209,44000,1961,10,"['was-full', 'now-full']",100,100,100,100,0,['fam-friend'],['dry-cough'],college,white,female,0.1,3.2,nothing-in-particular,0,456
2210,12000,1957,9.3,['now-disabled'],93,100,100,100,0,['fam-friend'],['none'],highschool,black,female,0.2,9.4,something-else,10,387
2211,65000,1986,4.8,['was-full'],100,74,2,100,0,['fam-friend'],['none'],highschool,white,female,0,9.2,something-else,8.4,354
2212,12000,1988,1.9,"['was-jobless', 'now-jobless']",1,19,44,53,0,['no-one'],['none'],highschool,white,female,0,4.9,nothing-in-particular,1.8,444
2213,55000,1997,5,['now-full'],1,82,40,73,0,"['fam-friend', 'religious']",['none'],college,white,female,1,10,catholic,9.4,370
2214,85000,1975,6.8,['now-full'],82,84,28,86,1,['fam-friend'],"['dry-cough', 'fatigue', 'headache']",college,black,male,3,3.5,catholic,6.9,223
2215,80000,1967,2.7,['was-full'],28,100,32,80,0,['local-gov'],['none'],some-college,white,male,0.2,2.1,nothing-in-particular,5.9,777
2216,35000,1967,9.4,['was-full'],87,79,78,77,1000,"['fam-friend', 'employer']","['fatigue', 'lost-smell-taste', 'headache', 'dry-cough', 'diarrhea']",some-college,white,female,8.8,7.4,catholic,6.7,173
2217,6000,2000,8.1,['was-full'],83,100,87,84,7,['fam-friend'],['headache'],college,black,female,1.6,6.4,catholic,5,770
2218,100000,1999,8.5,"['was-part', 'now-part', 'was-jobless', 'now-jobless']",84,19,6,92,0,"['fam-friend', 'employer', 'state-gov']","['dry-cough', 'short-breath', 'diarrhea', 'muscle-ache']",highschool,black,female,0,9.9,nothing-in-particular,8.1,282
2219,70000,1989,2.5,['was-full'],0,100,17,67,0,['fam-friend'],['none'],highschool,white,male,0,8.5,evangelical-protestant,10,756
2220,100000,1955,6.6,['was-part'],100,100,95,100,1,['religious'],['none'],some-college,black,female,5.3,3.1,other-protestant,7.8,711
2221,79000,1960,8.1,['was-full'],100,96,100,70,0,"['religious', 'fam-friend', 'private-org']","['headache', 'dry-cough']",college,white,male,1.8,4.6,catholic,10,337
2222,25000,1996,8,['now-part'],100,100,100,100,0,['fam-friend'],['none'],some-college,other-mixed,female,0,4.9,nothing-in-particular,7.1,781
2223,125000,1965,5.3,['was-full'],100,97,18,64,0,['fam-friend'],['none'],postgrad,white,male,1.7,5.3,other-protestant,5.8,327
2224,20000,1953,9.3,"['now-jobless', 'was-jobless']",97,96,94,96,1,['fam-friend'],['none'],highschool,black,female,0.3,4.6,other-protestant,7.6,117
2225,75000,1984,3.1,['was-full'],100,75,19,2,0,['fam-friend'],['headache'],some-college,asian,female,0,10,catholic,3.2,137
2226,36000,1977,0,['was-retired'],100,100,100,0,0,['other'],['none'],some-college,black,male,0.1,10,nothing-in-particular,0,283
2227,49000,1994,10,['was-part'],100,97,49,100,0,['fam-friend'],['none'],college,black,male,0,5.1,nothing-in-particular,5.2,352
2228,20000,1972,7.6,['was-jobless'],100,96,89,57,0,"['other', 'fam-friend']",['none'],college,white,male,2.4,4.8,nothing-in-particular,5.2,805
2229,10000,1986,6.8,['was-part'],77,100,47,100,1,['employer'],"['fatigue', 'dry-cough']",school,white,female,2.5,7.2,other-protestant,7.7,297
2230,58000,2000,8.7,['was-part'],100,56,100,76,58,['fam-friend'],"['nasal', 'sore-throat']",some-college,other-mixed,female,3,5.9,something-else,6.4,620
2231,100000,1999,7.1,['now-full'],65,32,31,73,0,"['fam-friend', 'employer']",['muscle-ache'],postgrad,black,male,0.3,7.6,catholic,5.2,441
2232,12000,1983,7.2,['was-jobless'],75,79,29,25,0,['employer'],"['short-breath', 'diarrhea']",college,hispanic-latino,female,3,2.6,orthodox,2.5,491
2233,22700,1983,9,['now-jobless'],100,100,100,100,0,['no-one'],['none'],highschool,black,female,0,6,something-else,6.5,354
2234,20000,2001,10,['now-part'],100,100,100,81,0,['fam-friend'],['none'],highschool,black,female,0,6.6,nothing-in-particular,7.1,495
2235,125000,1975,9.6,['now-full'],100,98,99,99,0,"['fedgov', 'state-gov']",['none'],college,white,male,0.8,6.8,catholic,9.5,100
2236,56000,1995,7.6,['was-full'],70,74,71,88,0,"['fam-friend', 'religious']",['none'],highschool,white,female,0.3,7.1,nothing-in-particular,7.3,570
2237,15000,1985,10,['was-part'],100,100,89,100,7,['no-one'],['none'],college,white,female,0,1.7,nothing-in-particular,0,27
2238,26000,1952,5.8,"['now-retired', 'was-retired', 'was-disabled', 'now-disabled']",93,79,100,79,0,"['fam-friend', 'religious']","['dry-cough', 'diarrhea', 'muscle-ache', 'fatigue']",college,white,female,3.3,6.1,evangelical-protestant,7.9,395
2239,12232,2002,6.5,"['was-jobless', 'now-retired', 'was-part']",24,31,100,36,132294,"['state-gov', 'local-gov']","['muscle-ache', 'sore-throat']",some-college,black,male,2.8,6.8,something-else,6.9,112
2240,9000,1962,9.7,['now-disabled'],86,66,16,49,0,['fedgov'],['none'],some-college,white,male,5.3,2.8,catholic,8.8,334
2241,14000,1951,7.1,['was-retired'],93,96,97,95,0,['fam-friend'],['dry-cough'],college,white,female,0.9,9.7,evangelical-protestant,9.8,770
2242,48000,1951,10,['was-retired'],100,100,100,97,0,['local-gov'],['none'],highschool,white,female,1,7.9,evangelical-protestant,7.3,757
2243,30000,1986,10,['now-jobless'],100,100,100,100,0,['fam-friend'],['none'],college,white,female,0,6.7,evangelical-protestant,0,301
2244,45000,1977,6.8,['now-jobless'],0,100,100,100,0,['fam-friend'],"['nasal', 'headache']",highschool,white,female,0.7,10,something-else,9.6,247
2245,90000,1973,2.8,"['was-full', 'now-full']",0,100,0,86,0,"['fam-friend', 'employer']",['none'],college,white,female,0,7.7,other-protestant,5.6,352
2246,48000,1989,6.3,"['now-full', 'was-full']",67,74,62,67,2,"['fam-friend', 'religious']",['none'],college,white,male,1.6,8.3,evangelical-protestant,9.5,391
2247,55000,1962,8.8,['was-disabled'],100,100,100,91,0,['fam-friend'],['none'],some-college,white,male,2.3,4.6,nothing-in-particular,1.8,260
2248,20000,1992,8.3,['now-jobless'],100,100,75,100,2,['fam-friend'],"['muscle-ache', 'fatigue']",postgrad,white,female,1.7,0.3,agnostic,1.5,891
2249,59000,1968,7.6,"['now-jobless', 'was-full']",82,92,60,98,0,['fedgov'],"['dry-cough', 'fatigue']",some-college,white,male,4.1,1.9,nothing-in-particular,0,132
2250,200000,1954,3.8,['was-full'],27,95,98,48,0,"['fam-friend', 'employer']",['none'],some-college,white,male,0.3,6.8,agnostic,1.2,301
2251,50000,1954,9.3,['now-retired'],93,99,95,98,1,['fam-friend'],['none'],some-college,white,male,0.9,5.5,other-protestant,9.6,640
2252,125000,1981,6.7,['was-full'],79,70,70,63,0,"['local-gov', 'state-gov']",['none'],college,white,male,0,5.1,nothing-in-particular,0.4,600
2253,69000,1971,5,['was-jobless'],88,83,88,95,0,['no-one'],['none'],some-college,white,female,0.8,4.7,catholic,5.5,68
2254,9000,2002,5.9,['was-part'],40,39,38,39,0,['employer'],['dry-cough'],highschool,asian,female,6.7,4,catholic,4.1,723
2255,50000,1943,10,['was-retired'],100,100,100,100,0,['fam-friend'],['none'],some-college,white,female,0,4.3,catholic,8.4,930
2256,175000,1993,4.9,"['was-full', 'now-full']",100,100,77,77,2,"['local-gov', 'employer', 'fam-friend']",['none'],postgrad,white,female,3.2,2.8,atheist,0,117
2257,70000,1960,8.8,['now-jobless'],100,100,100,100,4,['fam-friend'],['none'],college,white,female,0,4.1,orthodox,5.3,30
2258,90000,1978,7.4,"['was-full', 'was-part', 'now-full', 'now-part']",89,90,86,80,0,"['fam-friend', 'employer', 'religious']",['none'],postgrad,white,male,0.4,8.6,other-protestant,9.8,310
2259,35000,1998,6,['was-retired'],76,79,86,42,0,['religious'],['dry-cough'],college,hispanic-latino,male,6.7,7.1,other-protestant,6.4,402
2260,20000,2001,5.7,['now-full'],43,39,41,45,2,['fedgov'],['nausea-vomit'],college,white,female,0,2.3,buddhist,4.2,366
2261,50000,1965,6.3,"['was-part', 'now-retired']",62,100,100,100,0,['no-one'],['none'],college,white,male,1.6,6.2,catholic,3.2,321
2262,256000,1981,9.4,"['was-full', 'now-full']",95,97,97,89,0,"['fam-friend', 'employer']",['none'],postgrad,white,female,0.8,10,catholic,6.7,600
2263,75000,1998,5.2,"['was-part', 'now-part']",100,80,100,71,0,['no-one'],['none'],college,other-mixed,female,0,4.3,atheist,0,983
2264,58766,1991,6.1,['now-full'],69,72,75,71,0,['employer'],['diarrhea'],some-college,hispanic-latino,female,6.8,6.8,orthodox,7.2,232
2265,175000,1990,8.3,"['was-full', 'now-full']",95,98,96,100,0,['fam-friend'],['none'],some-college,white,female,1,2.6,catholic,6,794
2266,65000,1978,5.9,['was-full'],37,67,32,98,0,"['fam-friend', 'employer']",['none'],some-college,hispanic-latino,female,1.8,9.1,evangelical-protestant,8.4,377
2267,59000,1977,1.4,['was-full'],10,15,8,11,0,"['fam-friend', 'employer']",['none'],some-college,white,male,1.2,7.5,nothing-in-particular,3.1,985
2268,9899,1966,9.8,['was-disabled'],98,95,94,94,2,"['fam-friend', 'local-community', 'private-org', 'fedgov', 'religious', 'local-gov', 'state-gov']","['dry-cough', 'short-breath', 'muscle-ache', 'nasal']",highschool,black,female,5.4,0.9,something-else,6.9,200
2269,46535,2001,10,['was-full'],83,93,86,78,2,['fam-friend'],['none'],college,black,female,0,6.6,nothing-in-particular,8.8,198
2270,12000,1963,4.9,['was-disabled'],100,100,85,100,0,"['fedgov', 'private-org', 'state-gov']",['none'],highschool,white,male,0,5,nothing-in-particular,0,109
2271,35000,1951,8.4,['was-retired'],100,98,95,99,0,['no-one'],"['muscle-ache', 'nasal', 'headache']",highschool,white,female,0.4,8.1,other-protestant,9,775
2272,200000,1966,7.8,"['was-full', 'now-full']",100,94,94,97,1,['state-gov'],['none'],some-college,asian,female,0.2,1.9,nothing-in-particular,0,951
2273,200000,2000,4.9,['now-part'],29,35,68,55,0,['private-org'],['none'],college,other-mixed,male,0.6,4.5,something-else,5.1,335
2274,350000,1964,9,['was-disabled'],100,100,100,100,0,"['fam-friend', 'fedgov', 'state-gov', 'religious']",['none'],college,black,female,0.1,4.8,evangelical-protestant,9,212
2275,42000,1976,2.4,['was-full'],70,71,70,87,0,['no-one'],['none'],college,white,female,0,4.2,nothing-in-particular,4.6,660
2276,85000,1967,6.1,['was-full'],73,91,65,98,1,['no-one'],['none'],postgrad,white,female,1,8.7,something-else,2.9,484
2277,106000,1987,7.4,['was-full'],87,86,84,86,2,"['fam-friend', 'employer']",['none'],postgrad,white,male,0,7.6,other-protestant,7,180
2278,100000,1983,7.1,['now-disabled'],32,31,74,66,0,['no-one'],['none'],college,other-mixed,female,7.5,2.8,nothing-in-particular,6.1,606
2279,50000,1969,9.1,['now-full'],100,98,90,100,2,"['fam-friend', 'state-gov', 'religious']",['none'],highschool,white,female,4.9,4.6,something-else,10,255
2280,150000,1985,10,"['was-full', 'now-full']",100,100,100,100,0,"['fam-friend', 'religious', 'local-community', 'private-org']","['headache', 'fever']",college,white,male,0,6.8,catholic,9.4,112
2281,65000,1973,9.5,"['now-full', 'was-full']",100,96,99,89,0,"['fam-friend', 'employer']",['diarrhea'],college,white,female,1.1,4.7,other-protestant,7.5,185
2282,50000,2000,7.1,['now-full'],95,97,94,95,2,"['local-community', 'fam-friend', 'local-gov']","['dry-cough', 'fatigue', 'headache']",postgrad,black,male,4.5,4.8,catholic,6.8,275
2283,25000,1973,8.7,['now-part'],78,86,81,74,0,['no-one'],['none'],college,white,male,1.1,5.3,muslim,6.8,337
2284,50000,1999,5.8,['was-part'],63,45,61,64,1,['fam-friend'],['nasal'],some-college,hispanic-latino,female,0.1,10,catholic,6.1,606
2285,124000,1982,2.6,"['now-full', 'was-full']",100,100,18,100,0,['fam-friend'],['none'],college,white,female,0,5.4,something-else,8.1,150
2286,200000,1963,1.4,['was-full'],28,69,72,79,0,"['fam-friend', 'employer', 'fedgov']",['none'],some-college,white,female,1.7,5.3,catholic,5.5,553
2287,17898,1976,10,['was-full'],70,100,100,76,7,"['local-gov', 'state-gov', 'fedgov']","['dry-cough', 'fever', 'headache']",highschool,black,female,5.1,6,catholic,3.8,468
2288,30000,1989,10,['now-jobless'],100,98,100,100,0,['fam-friend'],['none'],some-college,black,female,0.2,0.2,nothing-in-particular,1.8,220
2289,15000,1988,5.2,['was-jobless'],58,61,60,60,0,['no-one'],['none'],postgrad,black,male,5.5,5.8,other-protestant,5.4,87
2290,29000,1972,0.7,['was-part'],45,75,77,87,0,['fam-friend'],['none'],school,white,male,0,5.2,something-else,7.1,494
2291,50000,1986,7.6,"['was-disabled', 'was-retired']",79,78,77,75,0,"['private-org', 'no-one']",['none'],postgrad,white,male,7.3,7.5,other-protestant,7.9,200
2292,225000,1983,2.9,['now-full'],19,99,9,74,3,"['employer', 'local-gov', 'local-community', 'fam-friend', 'private-org']",['none'],college,white,female,1.1,3.3,other-protestant,3.9,531
2293,50000,1998,9,['was-full'],81,88,84,81,0,"['fam-friend', 'religious', 'fedgov']",['none'],some-college,black,female,0,2.3,muslim,9.3,100
2294,39500,2001,8.7,['now-full'],100,100,100,100,9,"['fam-friend', 'employer', 'religious', 'local-gov', 'state-gov', 'fedgov', 'local-community', 'private-org']",['none'],some-college,white,male,0,5.9,other-protestant,6.2,656
2295,50000,1987,1.8,['was-part'],0,21,23,74,0,['fam-friend'],['none'],college,white,female,0,10,evangelical-protestant,10,804
2296,60000,1952,7.7,['was-retired'],89,74,89,66,0,"['religious', 'fam-friend']",['none'],postgrad,white,female,0.6,8.3,evangelical-protestant,9.4,720
2297,50000,1998,6.5,['was-part'],73,66,65,74,4,['fam-friend'],"['headache', 'muscle-ache']",some-college,black,female,6.9,7,something-else,7.4,21
2298,20000,1999,10,"['was-jobless', 'was-part', 'was-full']",93,83,86,90,0,['state-gov'],['headache'],some-college,white,female,0,9.2,evangelical-protestant,9.8,100
2299,150000,1972,1.5,"['was-full', 'now-full']",76,74,74,79,0,"['fam-friend', 'religious']",['none'],some-college,white,male,0,10,something-else,10,928
2300,100000,1958,5.1,['was-full'],100,93,98,96,0,['fam-friend'],['muscle-ache'],some-college,white,female,2.7,2.4,agnostic,2.9,490
2301,24000,1971,10,['was-part'],100,100,100,100,200,"['religious', 'fam-friend', 'local-gov', 'state-gov']","['nasal', 'headache', 'nausea-vomit', 'muscle-ache']",some-college,hispanic-latino,female,0.8,5.1,catholic,7.6,70
2302,160000,1979,6.8,"['was-full', 'now-full']",81,100,78,100,0,"['fam-friend', 'local-gov']",['none'],postgrad,white,female,0,2.5,agnostic,2.2,234
2303,10000,1943,2.2,['was-retired'],51,92,83,85,0,['no-one'],['none'],some-college,white,female,1.5,8.6,catholic,9.5,341
2304,15000,1990,8.1,['was-part'],100,100,96,100,3,['no-one'],"['sore-throat', 'headache']",highschool,hispanic-latino,male,0.1,6.7,catholic,10,902
2305,120000,1984,0,['now-full'],0,96,91,93,1,"['fam-friend', 'religious', 'local-community', 'private-org']",['none'],some-college,white,female,0,10,evangelical-protestant,10,484
2306,150000,1969,5.2,['was-full'],100,100,100,100,0,['fam-friend'],['none'],postgrad,white,female,0,0,jewish,4.4,480
2307,25000,1985,2.1,['now-jobless'],0,100,100,0,0,['no-one'],['sore-throat'],some-college,white,female,0,1.9,atheist,2.8,936
2308,134556,2000,6.3,['now-full'],100,71,29,28,4,['religious'],['none'],highschool,black,female,0,3.1,hindu,3,315
2309,200000,1999,5,"['was-full', 'now-full']",67,55,87,85,0,"['fam-friend', 'employer', 'religious', 'local-gov', 'state-gov', 'fedgov']","['dry-cough', 'nasal']",highschool,white,male,0,5,nothing-in-particular,0.4,554
2310,125000,1985,10,['now-full'],100,92,87,93,0,"['fam-friend', 'fedgov', 'state-gov', 'local-gov', 'employer']",['none'],postgrad,white,male,0.8,6.9,catholic,10,100
2311,100000,1945,4.5,['now-retired'],86,64,87,82,0,['fam-friend'],['none'],postgrad,white,male,0.7,6.7,other-protestant,2.4,750
2312,75000,1997,6.3,['was-jobless'],53,52,52,53,0,['fam-friend'],['headache'],college,other-mixed,male,0,4.7,catholic,5.4,765
2313,100000,1999,10,['was-full'],100,100,100,100,0,['fam-friend'],['headache'],college,other-mixed,female,0,5.1,something-else,5.2,932
2314,65000,1966,10,"['was-full', 'now-full']",100,100,100,100,1,"['fam-friend', 'employer', 'state-gov']",['none'],highschool,white,male,4.3,2.4,nothing-in-particular,0.4,550
2315,100000,1974,0.2,"['was-jobless', 'was-retired']",100,100,100,100,0,['employer'],['diarrhea'],highschool,asian,female,10,0,nothing-in-particular,2.8,328
2316,56000,1975,9.1,['now-full'],94,91,92,92,5,['private-org'],['nasal'],highschool,black,female,1,5,nothing-in-particular,3.4,778
2317,35696,1949,8,"['now-full', 'was-full', 'now-disabled']",83,73,71,80,0,['no-one'],['none'],some-college,hispanic-latino,male,2.4,4.9,nothing-in-particular,2.1,462
2318,44300,1981,7.2,['was-full'],95,99,100,100,0,"['fam-friend', 'employer']",['none'],some-college,hispanic-latino,male,1.8,4.7,nothing-in-particular,1.6,770
2319,25600,2000,2.4,['now-full'],18,36,26,56,0,['fam-friend'],['none'],school,white,male,0.7,6.5,something-else,7.1,379
2320,28880,2000,7.5,['now-full'],83,75,75,83,0,['religious'],"['short-breath', 'nasal']",school,black,male,7.2,7.9,catholic,8.5,153
2321,70000,1974,6.6,['was-full'],74,74,79,83,0,['fam-friend'],"['dry-cough', 'short-breath', 'diarrhea']",highschool,white,male,2.3,6.4,other-protestant,8.9,953
2322,30000,1985,5.3,['was-full'],60,59,56,86,0,"['fam-friend', 'employer']","['fatigue', 'fever']",some-college,white,male,5.9,5.4,something-else,5.9,750
2323,47000,1995,3.4,['now-full'],100,98,100,100,5,"['fam-friend', 'state-gov', 'employer', 'local-community', 'other']",['none'],postgrad,other-mixed,female,0.6,5.2,nothing-in-particular,5.8,284
2324,99500,1989,3.9,"['now-full', 'was-full']",33,80,60,98,0,"['fam-friend', 'religious']",['none'],college,white,female,0.5,6.4,something-else,9.6,765
2325,27000,1987,10,['was-full'],100,100,100,100,0,"['fam-friend', 'employer']",['none'],college,hispanic-latino,male,0,0,atheist,0.2,322
2326,50000,1970,4.8,['was-full'],36,100,4,96,0,"['fam-friend', 'state-gov', 'fedgov', 'employer']",['none'],some-college,white,male,0.7,8.9,atheist,0.4,604
2327,24000,1966,10,['now-disabled'],93,91,93,93,0,['no-one'],['none'],school,white,female,4.5,4.8,catholic,3.4,86
2328,100000,2001,10,['was-part'],100,100,100,100,3,['fam-friend'],['headache'],some-college,white,female,0,1,jewish,4,208
2329,17350,2001,4.7,['now-part'],96,59,78,86,0,['other'],['none'],highschool,white,male,0.4,4.8,catholic,4.1,794
2330,140000,1994,9.5,"['was-full', 'now-full']",95,100,100,100,2,['fam-friend'],['none'],postgrad,white,male,2.6,2.4,nothing-in-particular,2.1,113
2331,135000,1969,5.2,"['was-full', 'now-jobless']",0,0,2,100,1,['no-one'],['none'],highschool,white,male,0,7.7,agnostic,0.2,770
2332,15000,2000,4.7,['now-full'],45,46,47,46,0,['state-gov'],['none'],highschool,black,female,1.2,0.7,other-protestant,5.5,290
2333,120000,1985,10,['was-full'],100,100,100,100,0,"['fam-friend', 'religious', 'fedgov', 'state-gov']","['muscle-ache', 'lost-smell-taste']",college,white,male,0,10,catholic,10,606
2334,20000,1999,7,['was-full'],100,100,100,100,7,"['fam-friend', 'employer', 'religious']","['nausea-vomit', 'headache']",postgrad,black,female,2.7,6.5,something-else,10,770
2335,150000,1979,7.1,['was-full'],100,100,100,81,0,"['fam-friend', 'local-gov', 'local-community']",['nasal'],college,other-mixed,male,2.7,5.1,agnostic,0,300
2336,10000,1980,8.8,['was-disabled'],53,95,98,91,0,['no-one'],['none'],school,white,female,0.5,0.9,nothing-in-particular,5.6,639
2337,35000,1998,10,['now-jobless'],100,100,100,100,1,['no-one'],['none'],highschool,hispanic-latino,female,0,4.8,atheist,0.4,936
2338,102000,1977,6,"['was-full', 'now-full']",95,78,96,30,0,['fam-friend'],['short-breath'],postgrad,white,female,1.5,2.2,nothing-in-particular,1.9,483
2339,268299,2001,8.3,"['was-full', 'was-part']",83,76,30,26,0,['other'],['none'],some-college,other-mixed,female,8.6,8.5,catholic,8,273
2340,75000,1989,5.1,['was-full'],100,100,100,100,0,"['fam-friend', 'employer']",['nasal'],highschool,white,female,0,5.1,other-protestant,8.4,338
2341,280000,1999,4.3,['now-jobless'],60,59,41,45,2,['state-gov'],['muscle-ache'],some-college,black,female,3,3.8,nothing-in-particular,5.7,900
2342,38000,1990,5.9,['was-full'],100,67,84,98,0,['fam-friend'],['headache'],college,white,female,1.1,4.2,evangelical-protestant,4.4,606
2343,80000,2001,7.5,['was-part'],100,100,100,81,1,"['fam-friend', 'local-community']",['none'],highschool,white,female,2.6,4.8,catholic,8.1,19
2344,200000,1999,4.1,"['now-jobless', 'was-retired']",68,65,76,62,0,['no-one'],['none'],postgrad,white,female,6.9,6.3,nothing-in-particular,8.4,145
2345,70000,1956,6.4,['now-retired'],64,79,18,82,0,['fam-friend'],['none'],highschool,white,female,0.7,3.1,catholic,5.5,342
2346,200000,1994,0,['was-jobless'],100,100,100,98,0,['state-gov'],"['fatigue', 'diarrhea', 'short-breath']",postgrad,white,female,0,10,catholic,9.3,452
2347,75000,1960,7.1,"['was-full', 'now-full']",92,90,98,83,0,['fam-friend'],['lost-smell-taste'],college,white,female,0.4,1.4,other-protestant,7.4,271
2348,34566,2001,7,['now-part'],76,65,29,100,0,['no-one'],['none'],highschool,black,female,0,0,nothing-in-particular,6.8,421
2349,25000,1998,6.6,['was-full'],100,70,100,99,1,"['employer', 'local-gov', 'state-gov', 'fedgov']",['headache'],highschool,black,female,0,4.3,nothing-in-particular,0,112
2350,75000,1983,6.3,['now-full'],0,59,33,100,0,"['fam-friend', 'local-community']",['none'],college,white,male,0,3.3,nothing-in-particular,2.5,342
2351,39000,1989,6.2,['was-part'],80,75,76,76,1,['fam-friend'],['none'],some-college,white,female,2.1,2.4,agnostic,2.5,391
2352,127000,1980,8.8,"['now-part', 'was-full']",92,89,88,94,0,['fam-friend'],['none'],college,white,female,2.5,2.5,nothing-in-particular,7.3,88
2353,120000,1971,6.5,['now-jobless'],100,91,81,95,2,"['fam-friend', 'local-gov', 'state-gov']",['nasal'],postgrad,white,female,2.6,1.8,catholic,4.9,115
2354,5200,1989,9.2,"['was-full', 'now-jobless']",93,79,89,93,0,['fam-friend'],['none'],school,other-mixed,female,3.3,2.6,evangelical-protestant,8.3,871
2355,455555,2000,9,['was-part'],100,70,100,31,0,['fam-friend'],"['dry-cough', 'short-breath', 'sore-throat', 'fever', 'headache']",highschool,white,female,0,7.7,catholic,0.7,662
2356,60000,1987,6.8,"['was-jobless', 'was-part']",96,98,100,96,0,['fam-friend'],['headache'],college,white,female,0.1,6.1,other-protestant,10,765
2357,145000,1994,7.7,['was-full'],84,89,100,98,0,['fam-friend'],['none'],college,white,male,1,5.1,catholic,3.7,515
2358,100000,2000,7.5,['was-jobless'],74,82,76,68,0,['employer'],"['diarrhea', 'dry-cough']",highschool,black,female,8.4,8.8,mormon,6.7,221
2359,20000,1956,6.2,"['now-retired', 'was-retired']",6,64,67,41,0,['fam-friend'],['none'],college,white,female,0.3,7.1,something-else,9.9,284
2360,60000,1985,6.4,"['was-full', 'now-part']",85,85,79,100,0,"['fam-friend', 'employer']",['none'],some-college,white,male,1.7,5.4,catholic,4.3,532
2361,9500,1973,5.2,['was-disabled'],100,92,98,95,0,"['local-gov', 'other', 'local-community']",['none'],highschool,other-mixed,female,0.7,0.7,nothing-in-particular,0.3,980
2362,95000,1984,7.5,['now-jobless'],97,96,81,100,0,['fam-friend'],['none'],college,white,female,2.8,8.1,evangelical-protestant,10,902
2363,40000,1976,9.8,['was-full'],85,90,89,89,0,['fam-friend'],['none'],some-college,white,male,0,2.3,evangelical-protestant,10,557
2364,66666,2001,6,['now-part'],38,32,84,80,0,['no-one'],['none'],college,white,male,0.7,9.5,orthodox,7.6,285
2365,59000,1975,8.3,['was-full'],100,71,1,100,5,"['religious', 'local-gov', 'private-org', 'local-community', 'other']",['nasal'],college,black,male,1.5,4.7,something-else,10,191
2366,28000,2002,4.8,"['was-disabled', 'was-retired', 'now-part']",52,53,52,51,0,['fam-friend'],['none'],some-college,hispanic-latino,female,5.7,5.5,mormon,5.2,500
2367,50000,2000,10,['now-full'],100,100,100,100,1,['private-org'],['none'],postgrad,other-mixed,female,0,1.6,something-else,10,112
2368,40000,1971,8,['was-full'],95,96,98,98,1,['fam-friend'],['none'],postgrad,white,male,4.6,2.4,agnostic,0,111
2369,73300,1981,10,['was-full'],97,95,100,54,1,"['fam-friend', 'employer']",['none'],some-college,white,female,4.5,0,agnostic,6.7,198
2370,30000,1980,9.9,['was-full'],68,72,71,98,4,"['fedgov', 'state-gov']",['none'],college,white,male,2.6,6.2,other-protestant,8.6,331
2371,75000,1975,7,['was-full'],100,100,82,100,0,"['local-community', 'fam-friend']",['none'],some-college,white,female,0,4.8,nothing-in-particular,3.8,386
2372,49000,1990,8.8,['was-full'],82,78,83,89,3,"['religious', 'fam-friend', 'local-gov', 'state-gov']",['none'],college,white,female,0.7,5.5,evangelical-protestant,9.8,329
2373,50000,1996,9.2,"['was-full', 'now-full']",95,92,97,86,0,"['fam-friend', 'employer', 'fedgov', 'local-gov', 'state-gov']",['none'],college,hispanic-latino,female,2.7,0.6,jewish,1,782
2374,14000,1996,4.6,['was-disabled'],0,46,39,33,0,['no-one'],['none'],highschool,white,female,0,5.1,nothing-in-particular,4.1,974
2375,50000,1994,9.2,['was-full'],100,76,89,100,1,"['religious', 'fedgov', 'employer', 'fam-friend']","['diarrhea', 'nasal', 'muscle-ache']",college,asian,female,2.9,10,muslim,10,330
2376,15000,1973,8.2,['was-full'],96,96,95,92,8,"['fam-friend', 'religious', 'employer']",['fatigue'],college,black,female,5.2,1.6,something-else,8.9,532
2377,5697,1991,7.8,"['was-part', 'was-retired', 'now-jobless', 'was-disabled']",70,75,72,77,20964,"['employer', 'other', 'local-community', 'state-gov']","['sore-throat', 'nasal', 'muscle-ache', 'short-breath', 'headache']",highschool,white,female,6.2,7.6,buddhist,6.9,136
2378,38880,1992,9.5,['was-full'],100,100,100,100,0,['fam-friend'],['none'],highschool,white,female,0,4.6,nothing-in-particular,5.1,184
2379,15000,1974,4.6,['was-disabled'],0,77,62,80,0,['fam-friend'],"['fatigue', 'nasal']",some-college,white,female,0,4.6,something-else,10,729
2380,20000,1996,8.7,"['now-full', 'now-jobless', 'was-retired']",15,31,76,34,0,"['state-gov', 'fedgov', 'no-one']","['diarrhea', 'fatigue', 'nasal', 'lost-smell-taste']",highschool,hispanic-latino,female,6.8,7.4,agnostic,7.2,950
